chave,categoria,proposta
Avariado,opcional-br,com defeito
Azul Noturno,marca-tema,
Azul Profissional,marca-tema,
Ação,texto-geral,
Ação / Evento,texto-geral,
Ações,texto-geral,
Ações rápidas,texto-geral,
Backups,texto-geral,
Baixa,texto-geral,
Bandeira de :country,placeholder,
Bem-vindo ao SGM,texto-geral,
Bem-vindo ao Sistema,sigla-tecnico,
Bem-vindo de volta,texto-geral,
Bloqueio (minutos),texto-geral,
Botões e ações,texto-geral,
Breadcrumb,sigla-tecnico,
CSRF Token inválido ou expirado.,sigla-tecnico,
CSV Inventário,sigla-tecnico,
Cabeçalhos da resposta,texto-geral,
Cada família tem um par claro/escuro com o mesmo matiz — o botão do painel alterna entre os dois.,texto-geral,
Calendário Operacional,texto-geral,
Campos de texto,texto-geral,
Cancelada,texto-geral,
Cancelado,texto-geral,
Cancelar,texto-geral,
Cancelar edição,texto-geral,
Capacidade,texto-geral,
Capacidade (lugares),texto-geral,
Caracteres do token de API (20–128).,sigla-tecnico,
Cartão com superfície alternativa,texto-geral,
Cartão e bordas,texto-geral,
Castanho Clássico,marca-tema,
Castanho Noturno,marca-tema,
Categoria,texto-geral,
Categoria atualizada com sucesso,texto-geral,
Categoria atualizada com sucesso.,texto-geral,
Categoria criada com sucesso,texto-geral,
Categoria criada com sucesso.,texto-geral,
Categoria desativada com sucesso,texto-geral,
Categoria desativada com sucesso.,texto-geral,
Categoria não encontrada,texto-geral,
Categorias,texto-geral,
Categorias de Peças,texto-geral,
Centro Analítico,texto-geral,
Ciano Noturno,marca-tema,
Ciano Técnico,marca-tema,
Ciclos,texto-geral,
Claro,texto-geral,
Colaboradores com maior número de intervenções.,texto-geral,
Comentário adicionado,texto-geral,
Comentário adicionado com sucesso.,texto-geral,
Componente,texto-geral,
Compressão gzip das cópias de segurança.,sigla-tecnico,
Comprimento do token,texto-geral,
Comprimento dos tokens gerados para acesso à API.,sigla-tecnico,
Comprimir backups,texto-geral,
Comunicar Avaria,opcional-br,defeito
Comunicar Outra Avaria,opcional-br,defeito
Configurações Independentes,texto-geral,
Configurações do Sistema,sigla-tecnico,
Configure as taxas de IVA aplicáveis ao preço das peças.,texto-geral,
Confirmar Agendamento,texto-geral,
Consulte e organize as salas e equipamentos associados.,texto-geral,
"Consulte rapidamente os equipamentos mais afetados, as salas mais recorrentes e os técnicos mais ativos.",texto-geral,
Consumo em intervenção,texto-geral,
Conta ativa (permite login),texto-geral,
Conta temporariamente bloqueada. Tente novamente mais tarde.,texto-geral,
Contraste,texto-geral,
Copiar,texto-geral,
Copiar para a área de transferência,texto-geral,
Corpo da resposta,texto-geral,
Credenciais inválidas.,texto-geral,
Cria um novo fornecedor.,texto-geral,
Cria um novo plano de manutenção preventiva.,texto-geral,
Cria uma nova categoria.,texto-geral,
Cria uma nova taxa de IVA.,texto-geral,
Criar Equipamento,texto-geral,
Criar Sala,texto-geral,
Criar Ticket,texto-geral,
Criar categoria de peças,texto-geral,
Criar fornecedor,texto-geral,
Criar peça,texto-geral,
Criar plano de manutenção preventiva,texto-geral,
Criar taxa de IVA,texto-geral,
Criatividade das respostas — 0 é mais determinístico (0–2).,texto-geral,
Criação,texto-geral,
Crie um agendamento proativo de rotina para os técnicos.,texto-geral,
Crítica,texto-geral,
Custo,texto-geral,
Custo Final (€),texto-geral,
Custo Mensal,texto-geral,
Custo Total,texto-geral,
Custo acumulado de intervenções atribuídas a cada equipamento.,texto-geral,
Custo de Peças por Equipamento,texto-geral,
Custo de peças por equipamento,texto-geral,
Custo de peças por equipamento.,texto-geral,
Custo de peças por ticket,texto-geral,
Custo de peças por ticket/intervenção.,texto-geral,
Custo estimado dentro da autonomia. Pode prosseguir com a intervenção.,texto-geral,
Custo por Equipamento,texto-geral,
Custos,texto-geral,
Custos de peças por equipamento,texto-geral,
Custos de peças por ticket,texto-geral,
Código (SKU),sigla-tecnico,
Código / Nº Série,texto-geral,
Código QR,sigla-tecnico,
Código da Sala,texto-geral,
Código único (SKU),sigla-tecnico,
Dados inválidos,texto-geral,
Dashboard,sigla-tecnico,
Dashboard Analítico,sigla-tecnico,
Data,texto-geral,
Data até,texto-geral,
Data de Compra,texto-geral,
Data de Entrada,texto-geral,
Data de abertura (De),texto-geral,
Data e Hora,texto-geral,
Decimal,texto-geral,
Defina manualmente o responsável ou solicite à IA para triagem automática.,sigla-tecnico,
Defina periodicidades de manutenção e as peças previstas por equipamento.,texto-geral,
Degradação Parcial. Funcionamento condicionado.,texto-geral,
Desativa logicamente uma categoria.,texto-geral,
Desativa logicamente uma taxa de IVA.,texto-geral,
Desativar categoria de peças,texto-geral,
Desativar taxa de IVA,texto-geral,
Descreva de forma objetiva o que se passa com o equipamento...,texto-geral,
Descrição,texto-geral,
Descrição Detalhada *,texto-geral,
Descrição da reparação efetuada...,texto-geral,
Descrição do Problema *,texto-geral,
Descrição do Sintoma,texto-geral,
Desempenho,texto-geral,
Despesas acumuladas por intervenção concluída.,texto-geral,
"Destes, :assigned estão atribuídos a si.",placeholder,
Detalhe de um fornecedor,texto-geral,
Detalhe de um fornecedor.,texto-geral,
Detalhe de um plano com as peças associadas.,texto-geral,
Detalhe de um plano de manutenção,texto-geral,
Detalhe de uma peça,texto-geral,
Detalhe de uma peça.,texto-geral,
"Detalhe o problema ocorrido, ruídos, fugas ou comportamentos fora do normal...",texto-geral,
Detalhes do Incidente,texto-geral,
Detalhes do Ticket,texto-geral,
Devolução,texto-geral,
Dia,texto-geral,
Dias,texto-geral,
Dias de retenção,texto-geral,
Dias de validade dos tokens de autenticação (1–365).,texto-geral,
Dispara a geração assíncrona do relatório de custos por equipamento (PDF).,sigla-tecnico,
Dispara o envio de um email de teste em background via fila.,texto-geral,
Disponibilidade,texto-geral,
Disponibilidade do sistema (%),texto-geral,
Disponibilidade estimada da plataforma.,texto-geral,
Distribuição,texto-geral,
Distribuição das decisões de orçamento.,texto-geral,
Distribuição dos alertas gerados pelo sistema.,texto-geral,
Distribuição dos tickets por prioridade de resposta e intervenção.,texto-geral,
"Documentação OpenAPI da aplicação de gestão de tickets, equipamentos, auditoria e relatórios.",sigla-tecnico,aplicativo
Documento,texto-geral,
Dourado Clássico,marca-tema,
Dourado Noturno,marca-tema,
Duração,texto-geral,
Duração Total,texto-geral,
E-mail enviado com sucesso!,texto-geral,
Edifício,texto-geral,
Editar,texto-geral,
Editar Equipamento,texto-geral,
Editar Fornecedor,texto-geral,
Editar Peça,texto-geral,
Editar Sala,texto-geral,
Elemento Afetado,texto-geral,
Em manutenção,texto-geral,
Em tempo real,texto-geral,
Email,sigla-tecnico,
Email de recuperação enviado com sucesso.,sigla-tecnico,
Email de teste em processamento via fila.,sigla-tecnico,
Email de teste enviado,sigla-tecnico,
Emergência Imediata. Risco de acidente.,texto-geral,
Endereço de Email,sigla-tecnico,
Entendido,texto-geral,
Entrada,texto-geral,
Entradas e saídas de peças nos últimos meses.,texto-geral,
Entrar no sistema,texto-geral,
Enviar,texto-geral,
Enviar email de teste via Mailgun,sigla-tecnico,
Equipamento,texto-geral,
Equipamento / Ativo,texto-geral,
Equipamento / Ativo Afetado *,texto-geral,
Equipamento / Técnico,texto-geral,
Equipamento atualizado com sucesso.,texto-geral,
Equipamento criado com sucesso.,texto-geral,
Equipamento operacional no inventário,texto-geral,
Equipamentos,texto-geral,
Equipamentos com Mais Avarias,opcional-br,defeitos
Equipamentos da Sala,texto-geral,
Erro,texto-geral,
Erro Interno do Servidor,texto-geral,
Erro ao agendar manutenção preventiva.,texto-geral,
Escolher,texto-geral,
Escolher Fotografia,texto-geral,
"Escreva para pesquisar equipamento, série ou sala...",texto-geral,
Escreva para procurar...,texto-geral,
Escreva uma mensagem...,texto-geral,
Escuro,texto-geral,
Esgotado,texto-geral,
Espera,texto-geral,
Esta é uma notificação compulsória de segurança • Não responda,texto-geral,
Estado,texto-geral,
Estado Anterior,texto-geral,
Estado Operacional,texto-geral,
Estado da Conta,texto-geral,
Estado de ticket,texto-geral,
Estado do Orçamento,texto-geral,
Estado do Sistema,sigla-tecnico,
Estados,texto-geral,
Estatísticas,texto-geral,
Este Mês,texto-geral,
"Este endereço abre o formulário público de reporte para este equipamento, sem necessidade de conta.",texto-geral,
Este link expira em :minutes minutos.,placeholder,
Este ticket não tem agendamento.,texto-geral,
Etiqueta de Ativo,texto-geral,
Etiquetas de Equipamento,texto-geral,
Europa,texto-geral,
Evento reagendado com sucesso.,texto-geral,
Evidências Fotográficas,texto-geral,
Evolução,texto-geral,
Evolução do tempo médio (em minutos) para resolver cada ocorrência.,texto-geral,
Ex.: 912 345 678,placeholder,
Ex.: Ana Silva,placeholder,
Ex.: João Silva,placeholder,
Ex.: joao@empresa.pt,placeholder,
Ex: 12,placeholder,
Ex: 12.50,placeholder,
Ex: 2,placeholder,
Ex: 23,placeholder,
Ex: 25,placeholder,
Ex: 5,placeholder,
Ex: 512345678,placeholder,
Ex: 6204-2RS1,placeholder,
Ex: 90,placeholder,
Ex: 912 345 678,placeholder,
Ex: ACT-2024-001,placeholder,
Ex: Ala Norte,placeholder,
Ex: Armazém A · Prateleira 3 · Gaveta 2,placeholder,
Ex: EB-2250U,placeholder,
Ex: Edifício Principal,placeholder,
Ex: Epson,placeholder,
Ex: Fornecedor Peças Lda,placeholder,
Ex: IVA normal,placeholder,
Ex: Inspeção completa do sistema,placeholder,
Ex: Limpeza trimestral de filtros...,placeholder,
Ex: Manutenção trimestral,placeholder,
Ex: Projetor Epson EB-2250U,placeholder,
Ex: ROL-6204-2RS,placeholder,
Ex: Rolamento 6204 2RS,placeholder,
Ex: Rolamentos,placeholder,
Ex: SAL-A01,placeholder,
Ex: SKF,placeholder,
Ex: SN-987654,placeholder,
Ex: Sala de Formação A,placeholder,
Ex: Seiko Epson Corp.,placeholder,
Ex: vendas@fornecedor.pt,placeholder,
Executar,texto-geral,
Exemplo com data de hoje,texto-geral,
Expandir operações,texto-geral,
Expandir tudo,texto-geral,
Experimentar,texto-geral,
Explorar,texto-geral,
Exporta o inventário completo em CSV.,sigla-tecnico,
Exportar CSV,sigla-tecnico,
Exportar CSV do inventário,sigla-tecnico,
Exportar Excel,sigla-tecnico,
Exportar PDF,sigla-tecnico,
Exportar PDF de custos por equipamento,sigla-tecnico,
Exportar Todos (PDF),sigla-tecnico,
Exportação em Lote,texto-geral,
Fabricante,texto-geral,
Failover,sigla-tecnico,
Falta de Consumíveis,texto-geral,
Fechada,texto-geral,
Fechado,texto-geral,
Fechados,texto-geral,
Fechar,texto-geral,
Fechar menu,texto-geral,
Fecho,texto-geral,
Filtrar por etiqueta,texto-geral,
Filtrar por localização...,texto-geral,
Fim,texto-geral,
Fim de Garantia,texto-geral,
Finalizar e Fechar Ticket,texto-geral,
Fora de Serviço,texto-geral,
Fora de serviço,texto-geral,
Formato atual,texto-geral,
Formato de Data,texto-geral,
Formato de Hora,texto-geral,
Formato de Números,texto-geral,
Formato de data,texto-geral,
Formato de data atualizado com sucesso.,texto-geral,
Formato de hora atualizado com sucesso.,texto-geral,
Formato de números atualizado com sucesso.,texto-geral,
Formato de valores monetários (ISO 4217).,sigla-tecnico,
Formato usado para exibir datas.,texto-geral,
Formato usado para exibir horas.,texto-geral,
Formato usado para exibir números (separadores decimal e de milhar).,texto-geral,
Fornecedor,texto-geral,
Fornecedor atualizado com sucesso,texto-geral,
Fornecedor atualizado com sucesso.,texto-geral,
Fornecedor com as peças associadas,texto-geral,
Fornecedor criado com sucesso,texto-geral,
Fornecedor criado com sucesso.,texto-geral,
Fornecedor não encontrado,texto-geral,
Fornecedores,texto-geral,
Forçar Início (ignorar prioritários),texto-geral,
Fotografia (Opcional),texto-geral,
Funcionário,texto-geral,
Fuso horário,texto-geral,
Fuso horário usado nas datas e horas do sistema.,texto-geral,
Fúcsia Noturno,marca-tema,
Fúcsia Vibrante,marca-tema,
Garantia,texto-geral,
Genérico,texto-geral,
"Gestão administrativa de peças, fornecedores, taxas de IVA, categorias e planos de manutenção",texto-geral,
Gestão de Avarias,opcional-br,defeitos
Gestão de Avarias API,sigla-tecnico,defeitos
Gestão de Tickets,texto-geral,
Grafite Noturno,marca-tema,
Grafite Urbano,marca-tema,
Grupos,texto-geral,
Hierarquia de texto,texto-geral,
Histórico,texto-geral,
Histórico & Comentários,texto-geral,
Hoje,texto-geral,
Hora,texto-geral,
Horas de uso,texto-geral,
ID,sigla-tecnico,
ID do Técnico (Manual),sigla-tecnico,
Identidade e preferências gerais da aplicação.,opcional-br,aplicativo
"Identificador do modelo (ex.: gpt-4o-mini, gpt-4o).",texto-geral,
Idioma,texto-geral,
Idioma alterado com sucesso.,texto-geral,
Idioma atualizado com sucesso.,texto-geral,
Idioma e Região,texto-geral,
Idioma não suportado.,texto-geral,
Imagem,texto-geral,
Imprimir,texto-geral,
Inativa,texto-geral,
Inativo,texto-geral,
Inativos,texto-geral,
Indicadores Operacionais,texto-geral,
Indicadores principais da atividade do sistema. Os valores são atualizados automaticamente a partir da base de dados.,texto-geral,
Informação da Peça,texto-geral,
Informação da Sala,texto-geral,
Informação do Equipamento,texto-geral,
Informações Pessoais,texto-geral,
Iniciar Intervenção,texto-geral,
Inserir Imagem (Opcional),texto-geral,
Instruções específicas para o técnico...,texto-geral,
Inteligência Artificial,texto-geral,
Intervenção,texto-geral,
Intervenção agendada com sucesso.,texto-geral,
Intervenção concluída e ticket fechado com sucesso.,texto-geral,
Intervenção iniciada com sucesso.,texto-geral,
Intervenções concluídas,texto-geral,
"Inventário centralizado de equipamentos, localizações e estado operacional.",texto-geral,
Início,texto-geral,
Ir para o conteúdo,texto-geral,
Isento,texto-geral,
Isento / Sem taxa,texto-geral,
Itens do Orçamento,texto-geral,
Kit / Conjunto,texto-geral,
Laranja Industrial,marca-tema,
Laranja Noturno,marca-tema,
Legível,texto-geral,
Limites de segurança do login e validade das sessões.,texto-geral,
Limpar,texto-geral,
Limpar filtros,texto-geral,
Limão Energia,marca-tema,
Limão Noturno,marca-tema,
Link Codificado,texto-geral,
Lista das peças mais consumidas,texto-geral,
Lista de categorias de peças,texto-geral,
Lista de equipamentos,texto-geral,
Lista de fornecedores,texto-geral,
Lista de peças,texto-geral,
Lista de planos de manutenção,texto-geral,
Lista de salas,texto-geral,
Lista de taxas de IVA,texto-geral,
Lista de tickets,texto-geral,
Lista paginada de fornecedores,texto-geral,
"Lista paginada de fornecedores, com pesquisa por nome ou NIF.",sigla-tecnico,
Lista paginada de notificações,texto-geral,
Lista paginada de peças,texto-geral,
"Lista paginada de peças do catálogo, com filtros por pesquisa, estado e categoria.",texto-geral,
Lista paginada de planos,texto-geral,
Lista paginada de planos de manutenção preventiva.,texto-geral,
Lista todas as categorias de peças.,texto-geral,
Lista todas as taxas de IVA.,texto-geral,
"Listagens gerais (tickets, equipamentos) — 5 a 100.",texto-geral,
Listar auditoria,texto-geral,
Listar categorias de peças,texto-geral,
Listar fornecedores,texto-geral,
Listar operações,texto-geral,
Listar peças,texto-geral,
Listar planos de manutenção preventiva,texto-geral,
Listar taxas de IVA,texto-geral,
Litro,texto-geral,
Livre,texto-geral,
Locais com maior número de ocorrências.,texto-geral,
Localização,texto-geral,
Log ID,sigla-tecnico,
MTTR,sigla-tecnico,
Mailgun → SendGrid (fallback),sigla-tecnico,
Manutenção,texto-geral,
Manutenção Preventiva,texto-geral,
Manutenção preventiva agendada com sucesso.,texto-geral,
Manutenção preventiva agendada.,texto-geral,
Marca,texto-geral,
Marca uma notificação específica como lida.,texto-geral,
Marca · Modelo,texto-geral,
Marcar notificação como lida,texto-geral,
Membro desde,texto-geral,
Mensagem automática de sistema • Não responda a este endereço,texto-geral,
Mensagem enviada!,texto-geral,
Meta de disponibilidade apresentada no relatório (0–100).,texto-geral,
Metro,texto-geral,
Modelo,texto-geral,
Modelo usado nas recomendações automáticas de tickets.,texto-geral,
Modelos,texto-geral,
Moeda,texto-geral,
Moeda atual,texto-geral,
Moeda atualizada com sucesso.,texto-geral,
Mostrar,texto-geral,
Mostrar/Ocultar,texto-geral,
Motivo,texto-geral,
Movimentos,opcional-br,movimentações
Máximo,texto-geral,
Média,texto-geral,
Métricas da agenda atual,texto-geral,
Métricas disponíveis apenas para Administrador.,sigla-tecnico,
Mês,texto-geral,
Mínimo,texto-geral,
Mínimo 8 caracteres,texto-geral,
Mínimo de 8 caracteres,texto-geral,
NIF,sigla-tecnico,
Navegação principal,texto-geral,
Navegação principal mobile,texto-geral,
Nenhum equipamento ativo encontrado.,texto-geral,
Nenhum equipamento encontrado com os filtros aplicados.,texto-geral,
Nenhum idioma encontrado.,texto-geral,
Nenhum plano de manutenção encontrado.,texto-geral,
Nenhum ticket encontrado com os filtros aplicados.,texto-geral,
Nenhuma atividade recente encontrada.,texto-geral,
Nenhuma peça encontrada com os filtros aplicados,texto-geral,
Nenhuma sala encontrada com os filtros aplicados,texto-geral,
Nome,texto-geral,
Nome Completo,texto-geral,
Nome da Sala,texto-geral,
Nome da aplicação,opcional-br,aplicativo
Nome do Equipamento,texto-geral,
Nome exibido no título e nas notificações por e-mail.,texto-geral,
Normais,texto-geral,
Normal,texto-geral,
Notas,texto-geral,
Notas Internas,texto-geral,
Notas da Tarefa,texto-geral,
Notas técnicas,texto-geral,
Notifications,texto-geral,
Notificação atualizada,texto-geral,
Notificação de Incidente,texto-geral,
Notificação marcada como lida com sucesso.,texto-geral,
Notificação não encontrada,texto-geral,
Notificação não encontrada.,texto-geral,
Notificações,texto-geral,
Notificações por Tipo,texto-geral,
Nova Peça,texto-geral,
Nova categoria,texto-geral,
Nova sala,texto-geral,
Nova taxa de IVA,texto-geral,
Novo Estado,texto-geral,
Novo Fornecedor,texto-geral,
Novo Ticket Criado,texto-geral,
Novo Ticket Reportado,texto-geral,
Novo equipamento,texto-geral,
Novo plano de manutenção,texto-geral,
Nº Série,texto-geral,
Não Validar,texto-geral,
Não associada,texto-geral,
Não definida,texto-geral,
Não definido,texto-geral,
Não encontrado.,texto-geral,
Não especificada,texto-geral,
Não especificado,texto-geral,
Não existem operações definidas na especificação.,texto-geral,
Não existem tickets abertos prioritários.,texto-geral,
Não foi possível atualizar o perfil.,texto-geral,
Não foi possível carregar as atividades.,texto-geral,
Não foi possível carregar os indicadores analíticos do servidor.,texto-geral,
Não é possível atribuir um técnico a um ticket encerrado.,texto-geral,
Não é possível submeter um orçamento para um ticket encerrado.,texto-geral,
Nível de Urgência / Prioridade *,texto-geral,
Número de Referência,texto-geral,
Número de Série,texto-geral,
Número de Série / Código,texto-geral,
Número máximo de tentativas antes do bloqueio (1–20).,texto-geral,
O Seu Nome (Opcional),texto-geral,
O campo :attribute deve ser no mínimo :min.,placeholder,
O campo :attribute deve ser um endereço de e-mail válido.,placeholder,
O campo :attribute deve ser um número.,placeholder,
O campo :attribute deve ter pelo menos :min caracteres.,placeholder,
O campo :attribute não pode ser superior a :max.,placeholder,
O campo :attribute não pode ter mais de :max caracteres.,placeholder,
O campo forçar encerramento deve ser verdadeiro ou falso.,texto-geral,
O campo técnico é obrigatório.,texto-geral,
O custo deve ser um valor numérico.,texto-geral,
O custo não pode ser um valor negativo.,texto-geral,
O custo real deve ser um valor numérico.,texto-geral,
O custo real não pode ser um valor negativo.,texto-geral,
O custo real é obrigatório.,texto-geral,
O feedback não pode exceder 5000 caracteres.,texto-geral,
O identificador do técnico deve ser um número inteiro.,texto-geral,
O idioma selecionado não é suportado.,texto-geral,
O orçamento foi aprovado. Pode iniciar a reparação.,texto-geral,
O relatório técnico não pode exceder 5000 caracteres.,texto-geral,
O ticket #:id - :title foi concluído e fechado com custo final de :cost €.,placeholder,
O token expira em 60 minutos por segurança.,texto-geral,
O técnico selecionado é inválido.,texto-geral,
O técnico submeteu um orçamento de :amount€ para o ticket #:id - :title. Aguarda aprovação.,placeholder,
OK,sigla-tecnico,
Ocorrências ativas,texto-geral,
Ocorrências marcadas como urgentes.,texto-geral,
Ocultar,texto-geral,
Ocupação,texto-geral,
"Olá,",texto-geral,
"Olá, :name.",placeholder,
Online,texto-geral,
Operacional,texto-geral,
Operação realizada com sucesso.,texto-geral,
Operações,texto-geral,
Opções,texto-geral,
Organize o catálogo de peças por categorias.,texto-geral,
Origem,texto-geral,
Origem dos Tickets,texto-geral,
Orçam. Est.,texto-geral,
Orçam. Valor,texto-geral,
Orçamento,texto-geral,
Orçamento Aprovado,texto-geral,
Orçamento Aprovado Automaticamente,texto-geral,
Orçamento Rejeitado,texto-geral,
Orçamento Submetido,texto-geral,
Orçamento Total,texto-geral,
Orçamento aprovado. Ticket desbloqueado para intervenção.,texto-geral,
Orçamento recusado pela Administração.,texto-geral,
Orçamento recusado. Reparação abortada.,texto-geral,
Orçamentos,texto-geral,
Orçamentos acima deste valor pedem autorização (0–100000).,texto-geral,
Os tickets criados para esta sala aparecerão aqui.,texto-geral,
Os tickets criados para este equipamento aparecerão aqui.,texto-geral,
Outro,texto-geral,
PDF Custo por Equipamento,sigla-tecnico,
Padrão,texto-geral,
Padrão por página,texto-geral,
Paginação,texto-geral,
Painel,sigla-tecnico,
Painel do Admin,sigla-tecnico,
Par,texto-geral,
Parâmetro,texto-geral,
Parâmetros,texto-geral,
Parâmetros usados nos cálculos do painel de análise.,texto-geral,
Pelo menos 1 letra maiúscula e 1 letra minúscula,texto-geral,
Pelo menos 1 símbolo ou número,texto-geral,
Pendente,texto-geral,
Pendente Orçamento,texto-geral,
Pendente de Orçamento,texto-geral,
Perfil,texto-geral,
Perfil atualizado com sucesso.,texto-geral,
Perfil de Acesso,texto-geral,
Perfil inválido.,texto-geral,
Periodicidade,texto-geral,
Pesquisa Geral,texto-geral,
Pesquisa por SKU ou nome,sigla-tecnico,
Pesquisa por nome ou NIF,sigla-tecnico,
Pesquisar,texto-geral,
Pesquisar em título e descrição do ticket...,texto-geral,
Pesquisar endpoint...,texto-geral,
Pesquisar idioma,texto-geral,
Pesquisar idioma ou país...,texto-geral,
"Pesquisar idioma, país ou código…",texto-geral,
Pesquise por nome ou NIF...,sigla-tecnico,
Pesquise por nome ou código da sala...,texto-geral,
"Pesquise por nome, SKU, marca ou referência...",sigla-tecnico,
"Pesquise por nome, categoria ou código...",texto-geral,
"Pesquise por nome, email...",texto-geral,
Peça,texto-geral,
Peça ativa no catálogo,texto-geral,
Peça atualizada com sucesso,texto-geral,
Peça atualizada com sucesso.,texto-geral,
"Peça com categoria, taxa de IVA e fornecedores",texto-geral,
Peça criada com sucesso,texto-geral,
Peça criada com sucesso.,texto-geral,
Peça não encontrada,texto-geral,
Peças,texto-geral,
Peças do plano,texto-geral,
Peças e Componentes,texto-geral,
Peças em alerta,texto-geral,
Peças em catálogo,texto-geral,
Peças mais consumidas,texto-geral,
Peças previstas (deixe em branco se não aplicável),texto-geral,
Plano,texto-geral,
Plano ativo,texto-geral,
Plano atualizado com sucesso,texto-geral,
Plano com equipamento e peças associadas,texto-geral,
Plano criado com sucesso,texto-geral,
Plano de manutenção atualizado com sucesso.,texto-geral,
Plano de manutenção criado com sucesso.,texto-geral,
Plano não encontrado,texto-geral,
Planos,texto-geral,
Planos de Manutenção Preventiva,texto-geral,
Por atribuir,texto-geral,
"Por favor, tente novamente mais tarde.",texto-geral,
Prazo de entrega médio (dias),texto-geral,
Prazo médio,texto-geral,
Prazo: :days dias,placeholder,
Preferências atualizadas com sucesso.,texto-geral,
Preço,texto-geral,
Preço c/ IVA,texto-geral,
Preço de custo,texto-geral,
Preço de custo (sem IVA),texto-geral,
Preço de venda,texto-geral,
Primária,texto-geral,
Prioridade,texto-geral,
Prioridade dos Tickets,texto-geral,
"Prioridade inválida. Valores válidos: baixa, média, alta, crítica.",texto-geral,
Prioridades,texto-geral,
Processamento do PDF iniciado (notificação quando pronto),sigla-tecnico,
Procure um equipamento,texto-geral,
Prosseguir Mesmo Assim,texto-geral,
Pré-visualização de temas,texto-geral,
Pré-visualização em tempo real,texto-geral,
Próxima,texto-geral,
Próxima Intervenção,texto-geral,
Página,texto-geral,
Página Não Encontrada,texto-geral,
QR Code de :name,placeholder,
QR Code do Equipamento,sigla-tecnico,
